name,year,expenses,degree,enrollment,level,control
Arizona State University-Polytechnic,2012,6412,,,Less than 2 years (below associate),Private not-for-profit
Arizona State University-Polytechnic,2013,9407,724,3251,Four or more years,Public
Arizona State University-Skysong,2006,0,,,Four or more years,Public
Arizona State University-Skysong,2007,0,,,Four or more years,Public
Arizona State University-Skysong,2008,0,,,Four or more years,Public
Arizona State University-Skysong,2009,0,,,Four or more years,Public
Arizona State University-Skysong,2010,0,,,Four or more years,Public
Arizona State University-Skysong,2011,0,,,,
Arizona State University-Skysong,2012,4750,,,Less than 2 years (below associate),Private for-profit
Arizona State University-Skysong,2013,9152,950,6837,Four or more years,Public
Arizona State University-Tempe,2006,7501,56,42792,Four or more years,Public
Arizona State University-Tempe,2007,7944,56,42605,Four or more years,Public
Arizona State University-Tempe,2008,8310,56,57636,Four or more years,Public
Arizona State University-Tempe,2009,7735,56,59850,Four or more years,Public
Arizona State University-Tempe,2010,9492,59,61907,Four or more years,Public
Arizona State University-Tempe,2011,9634,12194,64595,Four or more years,Public
Arizona State University-Tempe,2012,8889,13210,64635,Four or more years,Public
Arizona State University-Tempe,2013,9080,9278,44899,Four or more years,Public
Arizona State University-West,2006,6102,,6538,Four or more years,Public
Arizona State University-West,2007,2688,58,7021,Four or more years,Public
Arizona State University-West,2008,0,,,Four or more years,Public
Arizona State University-West,2009,0,,,Four or more years,Public
Arizona State University-West,2010,0,,,Four or more years,Public
Arizona State University-West,2011,0,,,,
Arizona State University-West,2012,2730,,,,
Arizona State University-West,2013,9017,992,3205,Four or more years,Public
Arizona Summit Law School,2006,0,,,Four or more years,Private for-profit
Arizona Summit Law School,2007,0,,,Four or more years,Private for-profit
Arizona Summit Law School,2008,10552,,250,Four or more years,Private for-profit
Arizona Summit Law School,2009,11865,,404,Four or more years,Private for-profit
Arizona Summit Law School,2010,8655,,594,Four or more years,Private for-profit
Arizona Summit Law School,2011,4026,0,801,Four or more years,Private for-profit
Arizona Summit Law School,2012,2526,0,873,Four or more years,Private for-profit
Arizona Summit Law School,2013,6390,0,752,Four or more years,Private for-profit
Arizona Western College,2006,3801,,3931,At least 2 but less than 4 years,Public
Arizona Western College,2007,3900,,4101,At least 2 but less than 4 years,Public
Arizona Western College,2008,3934,,3955,At least 2 but less than 4 years,Public
Arizona Western College,2009,3857,,4455,At least 2 but less than 4 years,Public
Arizona Western College,2010,4862,,4751,At least 2 but less than 4 years,Public
Arizona Western College,2011,4362,,4687,At least 2 but less than 4 years,Public
Arizona Western College,2012,4593,,4459,At least 2 but less than 4 years,Public
Arizona Western College,2013,5028,,4548,At least 2 but less than 4 years,Public
Assemblies of God Theological Seminary,2006,3933,,312,Four or more years,Private not-for-profit
Assemblies of God Theological Seminary,2007,3450,,322,Four or more years,Private not-for-profit
Assemblies of God Theological Seminary,2008,5215,,317,Four or more years,Private not-for-profit
Assemblies of God Theological Seminary,2009,6631,,279,Four or more years,Private not-for-profit
Assemblies of God Theological Seminary,2010,6218,,266,Four or more years,Private not-for-profit
Assemblies of God Theological Seminary,2011,6787,0,251,Four or more years,Private not-for-profit
Assemblies of God Theological Seminary,2012,12056,0,241,Four or more years,Private not-for-profit
Assemblies of God Theological Seminary,2013,5318,0,227,Four or more years,Private not-for-profit
Austin Kade Academy,2006,0,,,At least 2 but less than 4 years,Private for-profit
Austin Kade Academy,2007,0,,,At least 2 but less than 4 years,Private for-profit
Austin Kade Academy,2008,0,,,At least 2 but less than 4 years,Private for-profit
Austin Kade Academy,2009,0,,,At least 2 but less than 4 years,Private for-profit
Austin Kade Academy,2010,0,,,At least 2 but less than 4 years,Private for-profit
Austin Kade Academy,2012,2367,,147,Four or more years,Private for-profit
Austin Kade Academy,2013,976,,193,At least 2 but less than 4 years,Private for-profit
Avalon School of Cosmetology-Mesa,2006,1981,,415,Less than 2 years (below associate),Private for-profit
Avalon School of Cosmetology-Mesa,2007,2289,,225,Less than 2 years (below associate),Private for-profit
Avalon School of Cosmetology-Mesa,2008,2368,,178,Less than 2 years (below associate),Private for-profit
Avalon School of Cosmetology-Mesa,2009,5188,,72,Less than 2 years (below associate),Private for-profit
Avalon School of Cosmetology-Mesa,2010,11329,,96,Less than 2 years (below associate),Private for-profit
Avalon School of Cosmetology-Mesa,2011,5511,,199,Less than 2 years (below associate),Private for-profit
Avalon School of Cosmetology-Mesa,2012,3809,,222,Less than 2 years (below associate),Private for-profit
Avalon School of Cosmetology-Mesa,2013,4143,,215,Less than 2 years (below associate),Private for-profit
Avalon School of Cosmetology-Phoenix,2006,0,,,Less than 2 years (below associate),Private for-profit
Avalon School of Cosmetology-Phoenix,2007,0,,,Less than 2 years (below associate),Private for-profit
Avalon School of Cosmetology-Phoenix,2008,0,,,Less than 2 years (below associate),Private for-profit
Avalon School of Cosmetology-Phoenix,2009,0,,,Less than 2 years (below associate),Private for-profit
Avalon School of Cosmetology-Phoenix,2010,0,,,Less than 2 years (below associate),Private for-profit
Avalon School of Cosmetology-Phoenix,2011,5351,,176,Less than 2 years (below associate),Private for-profit
Avalon School of Cosmetology-Phoenix,2012,1150,,178,Less than 2 years (below associate),Private for-profit
Avalon School of Cosmetology-Phoenix,2013,7659,,176,Less than 2 years (below associate),Private for-profit
Aveda Institute-Boise,2006,0,,,At least 2 but less than 4 years,Private for-profit
Aveda Institute-Boise,2007,0,,,At least 2 but less than 4 years,Private for-profit
Aveda Institute-Boise,2008,0,,,At least 2 but less than 4 years,Private for-profit
Aveda Institute-Boise,2009,0,,,At least 2 but less than 4 years,Private for-profit
Aveda Institute-Boise,2010,0,,,At least 2 but less than 4 years,Private for-profit
Aveda Institute-Boise,2011,1097,,63,At least 2 but less than 4 years,Private for-profit
Aveda Institute-Boise,2012,2012,,50,Four or more years,Private for-profit
Aveda Institute-Boise,2013,5327,,60,At least 2 but less than 4 years,Private for-profit
Aveda Institute-Tucson,2006,0,,,Less than 2 years (below associate),Private for-profit
Aveda Institute-Tucson,2007,0,,,Less than 2 years (below associate),Private for-profit
Aveda Institute-Tucson,2008,0,,,Less than 2 years (below associate),Private for-profit
Aveda Institute-Tucson,2009,0,,,Less than 2 years (below associate),Private for-profit
Aveda Institute-Tucson,2010,0,,,Less than 2 years (below associate),Private for-profit
Aveda Institute-Tucson,2012,8752,,95,Four or more years,Private for-profit
Aveda Institute-Tucson,2013,5277,,107,Less than 2 years (below associate),Private for-profit
Averett University,2006,5066,33,1727,Four or more years,Private not-for-profit
Averett University,2007,7346,41,802,Four or more years,Private not-for-profit
Averett University,2008,8213,44,790,Four or more years,Private not-for-profit
Averett University,2009,9053,51,847,Four or more years,Private not-for-profit
Averett University,2010,8455,34,904,Four or more years,Private not-for-profit
Averett University,2011,9089,146,863,Four or more years,Private not-for-profit
Averett University,2012,6848,143,890,Four or more years,Private not-for-profit
Averett University,2013,11453,139,880,Four or more years,Private not-for-profit
Averett University-Non-Traditional Programs,2006,0,,,Four or more years,Private not-for-profit
Averett University-Non-Traditional Programs,2007,5855,,956,Four or more years,Private not-for-profit
